icb_name,ods_code,press_email,press_email_alt,press_source_url,foi_email,foi_email_alt,foi_source_url,notes
BNSSG ICB,QUY,bnssg.communications@nhs.net,,https://bnssg.icb.nhs.uk/contact-us/,bnssg.foi@nhs.net,,https://bnssg.icb.nhs.uk/contact-us/freedom-of-information-requests/,
"Bath and North East Somerset, Swindon and Wiltshire ICB",QOX,bswicb.media@nhs.net,,https://bsw.icb.nhs.uk/about-us/freedom-of-information/,bswicb.foi@nhs.net,,https://bsw.icb.nhs.uk/about-us/freedom-of-information/,TODO — added 4 May 2026 during schema migration; press email not yet researched.; Forwarded to South Central and West CSU for processing | press source URL set 2026-06-20 (was a placeholder); address confirmed unchanged | 2026-08-22: bswicb.media@nhs.net and bswicb.foi@nhs.net both re-confirmed on the freedom-of-information page (which carries the media address too).
Birmingham and Solihull ICB,QHL,communications.bsolicb@nhs.net,,https://www.birminghamsolihull.icb.nhs.uk/contact-us,bsol.foi@nhs.net,,https://www.birminghamsolihull.icb.nhs.uk/what-we-do/freedom-information,Confirmed correct by Dave May 2026 (replaces earlier contactusbsolics@nhs.net which was a general contact address).
Black Country ICB,QUA,Bbcs.communications@nhs.net,comms.blackcountry@nhs.net,https://blackcountry.icb.nhs.uk/contact-us,bcicb.foiteam@nhs.net,,https://blackcountry.icb.nhs.uk/legal-info,primary updated 2026-08-15 from [https://blackcountry.icb.nhs.uk/contact-us]; prior value moved to _alt.
Central East ICB,S1Y5D,blmkicb.contactus@nhs.net,,https://www.centraleast.icb.nhs.uk/contact/media-enquiries/,blmkicb.contactus@nhs.net,foi@centraleast.nhs.uk,https://www.centraleast.icb.nhs.uk/about/requests/foi/,New merged entity from 1 April 2026 (BLMK + Cambs & Peterborough + Herts & West Essex). Use BLMK predecessor address for now per Dave May 2026 â€” new ICB site offers only a contact form. [2026-08-01] foi_email primary updated 2026-08-01 from https://www.centraleast.icb.nhs.uk/about/requests/foi/ — the FOI-team address on that page is Cloudflare-obfuscated and decodes to blmkicb.contactus@nhs.net; the previous primary foi@centraleast.nhs.uk no longer appears anywhere on the page and moved to _alt.
Cheshire and Merseyside ICB,QYG,media@cheshireandmerseyside.nhs.uk,,https://www.cheshireandmerseyside.nhs.uk/contact/media/,FOI@cheshireandmerseyside.nhs.uk,,https://www.cheshireandmerseyside.nhs.uk/contact/freedom-of-information-foi/,
Cornwall and Isles of Scilly ICB,QT6,ciosicb.mediarelations@nhs.net,,https://cios.icb.nhs.uk/contact-us/,ciosicb.foi@nhs.net,,https://cios.icb.nhs.uk/about/foi/,Site behind captcha/bot-protection layer. Dave has a direct line.; site behind Cloudflare protection - no FOI page reachable via WebFetch; Live site behind Cloudflare; email confirmed via Wayback Machine archive (Sep 2024 capture)
Coventry and Warwickshire ICB,QWU,cwicb.communications@nhs.net,,https://www.happyhealthylives.uk/contact-us/general-enquiries/,cwicb.hwicb_foi@nhs.net,agem.cwicb.foi@nhs.net,https://www.happyhealthylives.uk/contact-us/freedom-of-information/,happyhealthylives.uk pages returning 403 - blocked
Derby and Derbyshire ICB,QJ2,nnicb-nn.dln-communications@nhs.net,ddicb.communications@nhs.net,https://joinedupcarederbyshire.co.uk/contact-us/staff-and-media-contacting-us/,ddicb.foi@nhs.net,,https://joinedupcarederbyshire.co.uk/derbyshire-integrated-care-board/freedom-of-information/,press primary updated 2026-06-27 from joinedupcarederbyshire.co.uk media/comms section; prior value ddicb.communications@nhs.net moved to press_email_alt
Devon ICB,QJK,D-icb.Communications@nhs.net,,https://onedevon.org.uk/contact-us/,D-CCG.FOI@nhs.net,,https://onedevon.org.uk/nhs-devon/freedom-of-information/,foi_source_url updated 2026-06-27 (old devon.icb.nhs.uk path now 404); FOI email D-CCG.FOI@nhs.net unchanged
Dorset ICB,QVV,communication@nhsdorset.nhs.uk,,https://ourdorset.org.uk/media/,FOI.Requests@nhsdorset.nhs.uk,,https://nhsdorset.nhs.uk/about/foi/,
Gloucestershire ICB,QR1,glicb.enquiries@nhs.net,,https://www.nhsglos.nhs.uk/about-us/who-we-are-and-what-we-do/contact-us/media-enquiries/,GLICB.FOI@nhs.net,,https://www.nhsglos.nhs.uk/about-us/how-we-meet-our-duties/using-your-information/freedom-of-information/,General enquiries â€” site has dedicated press page but no email listed.
Greater Manchester ICB,QOP,gmhscp.media@nhs.net,,https://gmintegratedcare.org.uk/get-involved/contact-us/,nhsgm.foi@nhs.net,,https://gmintegratedcare.org.uk/freedom-of-information/,
Hampshire and Isle of Wight ICB,QRL,hiowicb-hsi.communications@nhs.net,,https://www.hantsiow.icb.nhs.uk/contact-us/general-enquiries,hiowicb-hsi.foi@nhs.net,hsiccg.foi@nhs.net,https://www.hantsiow.icb.nhs.uk/contact-us/freedom-information-foi,
Herefordshire and Worcestershire ICB,QGH,hw.comms@nhs.net,,https://herefordshireandworcestershire.icb.nhs.uk/contact-us/,cwicb.hwicb_foi@nhs.net,MLCSU.FOITeam@nhs.net,https://herefordshireandworcestershire.icb.nhs.uk/contact-us,Online form preferred via Corestream
Humber and North Yorkshire ICB,QOQ,hnyicb.press@nhs.net,hnyicb.communications@nhs.net,https://humberandnorthyorkshire.icb.nhs.uk/contact/,hnyicb.foi@nhs.net,,https://humberandnorthyorkshire.icb.nhs.uk/foi,"[2026-08-01] press_email primary updated 2026-08-01 from https://humberandnorthyorkshire.icb.nhs.uk/contact/; prior value hnyicb.communications@nhs.net moved to _alt. The old /contact-us/ page now 404s, so press_source_url was repointed to /contact/."
Kent and Medway ICB,QKS,kmicb.engagecomms@nhs.net,kmicb.comms@nhs.net,https://www.kentandmedway.icb.nhs.uk/contact-us,kmicb.foi@nhs.net,,https://www.kentandmedway.icb.nhs.uk/freedom-of-information-requests,Mailto link points here; display text shows kmicb.engagecomms@nhs.net â€” either should work. | press primary updated 2026-05-29 from [https://www.kentandmedway.icb.nhs.uk/contact-us]; prior value kmicb.comms@nhs.net moved to _alt
Lancashire and South Cumbria ICB,QE1,lscicb.media@nhs.net,healthierlsc.media@nhs.net,https://www.lancashireandsouthcumbria.icb.nhs.uk/contact-us/media-office,mlcsu.foiteam@nhs.net,,https://www.lancashireandsouthcumbria.icb.nhs.uk/contact-us/foi,FOI handled by Midlands and Lancashire CSU
Leicester Leicestershire and Rutland ICB,QK1,llricb-llr.pressoffice@nhs.net,,https://leicesterleicestershireandrutland.icb.nhs.uk/contact/,llricb-llr.FOI@nhs.net,llricb-llr.enquiries@nhs.net,https://leicesterleicestershireandrutland.icb.nhs.uk/contact/,"foi_source_url updated 2026-09-12: /about/freedom-of-information/ now 404s and no replacement FOI page exists; llricb-llr.FOI@nhs.net is published on the /contact/ page, which is now cited instead. Address unchanged."
Lincolnshire ICB,QJM,nnicb-nn.comms@nhs.net,LICB.office@nhs.net,https://lincolnshire.icb.nhs.uk/contact/,nnicb-nn.dln.fois@nhs.net,agem.lincolnshireicb.foi@nhs.net,https://lincolnshire.icb.nhs.uk/contact/,"General office address â€” no published press-specific email. [2026-08-01] press_email and foi_email primaries updated 2026-08-01 from https://lincolnshire.icb.nhs.uk/contact/, which now publishes a press-specific address (nnicb-nn.comms@nhs.net) and routes FOI to nnicb-nn.dln.fois@nhs.net; prior primaries LICB.office@nhs.net and agem.lincolnshireicb.foi@nhs.net moved to _alt (the previous press _alt charley.blyth@nhs.net, a personal address, is no longer published). Both old source URLs (/contact-us/ and /freedom-of-information) now 404."
NHS Essex ICB,D7T5G,communications@midandsouthessex.ics.nhs.uk,,https://www.essex.icb.nhs.uk/contact/,eicb.foi@nhs.net,mseicb-foi@nhs.net,https://www.essex.icb.nhs.uk/contact/foi/,"New merged entity from 1 April 2026; predecessor Mid and South Essex address still active.; input website seed was mid and south Essex ICB | 2026-06-20: org migrated to essex.icb.nhs.uk (old midandsouthessex.ics.nhs.uk 301-redirects); FOI updated to eicb.foi@nhs.net (prior mseicb-foi@nhs.net moved to alt); new media page is form-only so the old press address may be defunct - manual check needed | 2026-08-22: /contact/press-media/ is still contact-form only with no address published, so communications@midandsouthessex.ics.nhs.uk remains unverified and may be defunct - manual check still outstanding. FOI address Eicb.foi@nhs.net re-confirmed by decoding the cfemail token on /contact/foi/."
Norfolk and Suffolk ICB,T6Y0W,nsicb.communications@nhs.net,nwicb.communications@nhs.net,https://www.norfolkandsuffolk.icb.nhs.uk/contact/,nsicb.foi@nhs.net,nwicb.foi@nhs.net,https://www.norfolkandsuffolk.icb.nhs.uk/about/governance/foi/,Email obfuscated via Cloudflare; decoded from data-cfemail (legacy Norfolk and Waveney prefix) primary updated 2026-07-30 from https://www.norfolkandsuffolk.icb.nhs.uk/contact/ and https://www.norfolkandsuffolk.icb.nhs.uk/about/governance/foi/ (cfemail-decoded); prior nwicb.* values moved to _alt.
North East London ICB,QMF,necsu.media@nhs.net,,https://northeastlondon.icb.nhs.uk/contact-us/media-enquiries/,nelondonicb.foi@nhs.net,,https://northeastlondon.icb.nhs.uk/contact-us/freedom-of-information/,NEL CSU shared press inbox; covers the ICB. Page also lists nelcsu.media@nhs.net.
North East and North Cumbria ICB,QHM,nencicb.comms@nhs.net,,https://northeastnorthcumbria.nhs.uk/contact-us/,nencicb.foi@nhs.net,necsu.ICBfoi@nhs.net,https://northeastnorthcumbria.nhs.uk/about-us/corporate-information/freedom-of-information/,Confirmed correct by Dave May 2026 (replaces earlier Nencicb-sun.reception@nhs.net which was a general reception address).
Northamptonshire ICB,QPM,northantsicb.communications@nhs.net,,https://www.icnorthamptonshire.org.uk/contact,agem.foi.northants@nhs.net,,https://www.icnorthamptonshire.org.uk/contact,
