trust_name,ods_code,press_email,press_email_alt,press_source_url,foi_email,foi_email_alt,foi_source_url,notes
Airedale NHS Foundation Trust,RCF,anhsft.communications@nhs.net,,https://www.airedale-trust.nhs.uk/contact-us/media-enquiries/,anhsft.foi@nhs.net,,https://www.airedale-trust.nhs.uk/contact-us/freedom-of-information-requests/,Direct fetches of airedale-trust.nhs.uk returned blank; emails via search results
Alder Hey Children's NHS Foundation Trust,RBS,press@alderhey.nhs.uk,media@alderhey.nhs.uk,https://www.alderhey.nhs.uk/contact/press-office/,FOIRequests@alderhey.nhs.uk,info.gov@alderhey.nhs.uk,https://www.alderhey.nhs.uk/about/foi/request/,Press email visible only via Cloudflare obfuscation; press@alderhey.nhs.uk per third-party listings - confidence medium
Ashford and St Peter's Hospitals NHS Foundation Trust,RTK,asp-tr.comms.mailbox@nhs.net,,Temp/Comms contacts.xlsx (May 2026),asp-tr.foi@nhs.net,,Temp/Comms contacts.xlsx (May 2026),"press email not found on site; FOI email not found on site; Ashford & St Peter's website returns empty body / Cloudflare-blocked to WebFetch on /, /contact-us, /freedom-of-information. Could not verify any email."
Avon and Wiltshire Mental Health Partnership NHS Trust,RVN,awp.communications@nhs.net,,https://www.awp.nhs.uk/contact-us,awp.freedomofinformation@nhs.net,,https://www.awp.nhs.uk/contact-us/freedom-information,
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,bhrut.communications@nhs.net,,https://www.bhrhospitals.nhs.uk/contact-us,BHRUT.FreedomOfInformation@nhs.net,,https://www.bhrhospitals.nhs.uk/foi,
Barnsley Hospital NHS Foundation Trust,RFF,communications.barnsley@nhs.net,,https://www.barnsleyhospital.nhs.uk/services/communications-team,barnsley@infreemation.co.uk,,https://www.barnsleyhospital.nhs.uk/freedom-information-requests,FOI handled via Infreemation portal address
Barts Health NHS Trust,R1H,Bartshealth.pressoffice@nhs.net,,https://www.bartshealth.nhs.uk/press-office,foi.bartshealth@nhs.net,,https://www.bartshealth.nhs.uk/freedom-of-information,
Bedfordshire Hospitals NHS Foundation Trust,RC9,communications@bedfordhospital.nhs.uk,communications@ldh.nhs.uk,https://www.bedfordshirehospitals.nhs.uk/contact-us/media-enquiries/,FOI@bedsft.nhs.uk,bhn-tr.foibedfordshirehospitals@nhs.net,https://www.bedfordshirehospitals.nhs.uk/corporate-information/freedom-of-information/,Trust runs two press inboxes: communications@bedfordhospital.nhs.uk and communications@ldh.nhs.uk (Luton & Dunstable site)
Berkshire Healthcare NHS Foundation Trust,RWX,communications@royalberkshire.nhs.uk,,https://www.berkshirehealthcare.nhs.uk/about-us/media-enquiries,foi.bht@berkshire.nhs.uk,,https://www.berkshirehealthcare.nhs.uk/about-us/freedom-of-information-request,
Birmingham Community Healthcare NHS Foundation Trust,RYW,info.BCHC@nhs.net,,https://www.bhamcommunity.nhs.uk/contact-us/,foi.bchc@nhs.net,,https://www.bhamcommunity.nhs.uk/freedom-of-information/,
Birmingham Women's and Children's NHS Foundation Trust,RQ3,bwc.communications@nhs.net,,https://www.bwc.nhs.uk/contact-us,bwc.freedomofinformation@nhs.net,,https://www.bwc.nhs.uk/freedom-of-information,
Birmingham and Solihull Mental Health NHS Foundation Trust,RXT,bsmhft.commsteam@nhs.net,,Temp/Comms contacts.xlsx (May 2026),bsmhft.foioffice@nhs.net,,https://www.bsmhft.nhs.uk/about-us/information-rights/foi/,"press routed via on-site contact form, no listed email; BSMHFT directs all media enquiries via web form; no published generic press email."
Black Country Healthcare NHS Foundation Trust,TAJ,bchft.communications@nhs.net,bcpft.communications@nhs.net,https://www.blackcountryhealthcare.nhs.uk/contact-us,bchft.foi1@nhs.net,bcpft.foi@nhs.net,https://www.blackcountryhealthcare.nhs.uk/contact-us,
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,bfwh.trustcommunications@nhs.net,,https://www.blackpoolteachinghospitals.nhs.uk/contact-us,bfwh.pso@nhs.net,,https://www.blackpoolteachinghospitals.nhs.uk/services/information-governance/freedom-information-foi,
Bolton NHS Foundation Trust,RMC,communications@boltonft.nhs.uk,,https://www.boltonft.nhs.uk/contact-us/media-enquiries/,foi@boltonft.nhs.uk,,https://www.boltonft.nhs.uk/about-us/freedom-of-information/,
Bradford District Care NHS Foundation Trust,TAD,communications@bdct.nhs.uk,,https://www.bdct.nhs.uk/contact/,foi.requests@bdct.nhs.uk,,https://www.bdct.nhs.uk/contact/,
Bradford Teaching Hospitals NHS Foundation Trust,RAE,communications@bthft.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),foi@bthft.nhs.uk,,https://www.bradfordhospitals.nhs.uk/freedom-of-information/,No press/comms email found on news-and-media page; switchboard 01274 542200 the only contact route; No dedicated press email surfaced on news/media or contact-us pages.
Bridgewater Community Healthcare NHS Foundation Trust,RY2,ncm.media@nhs.net,,https://northcheshireandmersey.nhs.uk/contact-us/,ncm.foi@nhs.net,foi@bridgewater.nhs.uk,https://northcheshireandmersey.nhs.uk/about-us/freedom-of-information/,Bridgewater merged into North Cheshire & Mersey FT; shared inbox
Buckinghamshire Healthcare NHS Trust,RXQ,bht.communications@nhs.net,,https://www.buckshealthcare.nhs.uk/get-in-touch/,bht.bhinfo@nhs.net,,https://www.buckshealthcare.nhs.uk/our-organisation/freedom-of-information/,
Calderdale and Huddersfield NHS Foundation Trust,RWY,amy.campbell@cht.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),FOI@cht.nhs.uk,,https://www.cht.nhs.uk/publications/freedom-of-information-foi/about-freedom-of-information/,Calderdale & Huddersfield: contact-us page lists no emails; FOI sub-pages 404; no public-facing FOI email visible.; FOI email confirmed via Google site search May 2026.
Cambridge University Hospitals NHS Foundation Trust,RGT,cuh.press@nhs.net,,https://www.cuh.nhs.uk/contact-us/media-enquiries/,cuh.foi@nhs.net,foi.contact@addenbrookes.nhs.uk,https://www.cuh.nhs.uk/about-us/freedom-information/,CUH FOI page returned 404; FOI process exists but specific email not confirmed; CUH contact page lists only phone numbers; FOI sub-pages 404 across multiple paths.; FOI primary updated 2026-05-16 from https://www.cuh.nhs.uk/about-us/freedom-information/; prior value moved to _alt
Cambridgeshire and Peterborough NHS Foundation Trust,RT1,communications@cpft.nhs.uk,,https://www.cpft.nhs.uk/press-and-media,foi@cpft.nhs.uk,,https://www.cpft.nhs.uk/freedom-of-information,
Central London Community Healthcare NHS Trust,RYX,clcht.comms@nhs.net,clch.communications@nhs.net,https://www.clch.nhs.uk/about-us/contact-us,foi.request@nhs.net,,https://www.clch.nhs.uk/about-us/contact-us,
Central and North West London NHS Foundation Trust,RV3,cnwl.communications@nhs.net,communications.cnwl@nhs.net,https://www.cnwl.nhs.uk/news/press-office,freedomofinformation.cnwl@nhs.net,,https://www.cnwl.nhs.uk/about/freedom-information-foi,
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,chelwest.comms@nhs.net,,https://www.chelwest.nhs.uk/about-us/news/press-office,chelwest.foi@nhs.net,,https://www.chelwest.nhs.uk/about-us/organisation/our-way-of-working/foi/freedom-of-information,
