ods_code,name,alt_names,type,region,ics,correspondent,url
RA2,Royal Surrey County Hospital NHS Foundation Trust,Royal Surrey County Hospital,Acute and Acute & Community Trusts,South East,Surrey Heartlands,Alison,https://www.royalsurrey.nhs.uk/board-papers/
RDR,Sussex Community NHS Foundation Trust,Sussex Community;SCFT,Community Trusts,South East,Sussex,Alison,https://www.sussexcommunity.nhs.uk/about-us/how-we-are-run/board-of-directors/board-meetings-and-papers
RN7,Dartford and Gravesham NHS Trust,Dartford and Gravesham;Dartford Gravesham;DARENT,Acute and Acute & Community Trusts,South East,Kent and Medway,Alison,https://www.dgt.nhs.uk/about-us/trust-management/trust-boardmanagement/trust-board-minutesagendas
RPA,Medway NHS Foundation Trust,Medway;MFT Medway,Acute and Acute & Community Trusts,South East,Kent and Medway,Alison,https://www.medway.nhs.uk/about-us/board-meetings/
RPC,Queen Victoria Hospital NHS Foundation Trust,Queen Victoria Hospital,Acute Specialist Trusts,South East,Sussex,Alison,https://www.qvh.nhs.uk/about-us/board-of-directors/meetings-in-public/
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Ashford and St Peter's Hospitals;Ashford St Peters;ASPH,Acute and Acute & Community Trusts,South East,Surrey Heartlands,Alison,https://www.ashfordstpeters.nhs.uk/meetings
RTP,Surrey and Sussex Healthcare NHS Trust,Surrey and Sussex Healthcare;Surrey Sussex Healthcare;SASH,Acute and Acute & Community Trusts,South East,Surrey Heartlands,Alison,https://www.surreyandsussex.nhs.uk/about-us/our-board/board-papers
RVV,East Kent Hospitals University NHS Foundation Trust,East Kent Hospitals University;EKHUFT,Acute and Acute & Community Trusts,South East,Kent and Medway,Alison,https://www.ekhuft.nhs.uk/about-us/board-of-directors/
RWF,Maidstone and Tunbridge Wells NHS Trust,Maidstone and Tunbridge Wells;Maidstone Tunbridge Wells;MTW,Acute and Acute & Community Trusts,South East,Kent and Medway,Alison,https://www.mtw.nhs.uk/about-us/trust-board/board-meetings-and-papers/
RX2,Sussex Partnership NHS Foundation Trust,Sussex Partnership,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South East,Sussex,Alison,https://www.sussexpartnership.nhs.uk/about-us/how-our-trust-run/board-meetings
RXC,East Sussex Healthcare NHS Trust,East Sussex Healthcare;ESHT,Acute and Acute & Community Trusts,South East,Sussex,Alison,https://www.esht.nhs.uk/about-us/trust-board/meetings-in-public/
RXX,Surrey and Borders Partnership NHS Foundation Trust,Surrey and Borders Partnership,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South East,Surrey Heartlands,Alison,https://www.sabp.nhs.uk/aboutus/board-of-directors/board-meetings-papers
RXY,Kent and Medway NHS and Social Care Partnership Trust,,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South East,Kent and Medway,Alison,https://www.kmpt.nhs.uk/about-us/trust-board/
RYR,University Hospitals Sussex NHS Foundation Trust,University Hospitals Sussex;UH Sussex;UHSussex,Acute and Acute & Community Trusts,South East,Sussex,Alison,https://www.uhsussex.nhs.uk/resources/public-board-papers-10-november-2022/
RYY,Kent Community Health NHS Foundation Trust,Kent Community Health,Community Trusts,South East,Kent and Medway,Alison,https://www.kentcht.nhs.uk/about-us/who-we-are/the-board/
